"timestamp","name","request_type","response_time","exception"
"2018-09-08T22:55:43.249147","query2","pg8000",13,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:44.104567","query2","pg8000",1,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:45.081967","query1","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:45.800186","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:46.350136","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:47.322457","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:48.201359","query1","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:49.073736","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:49.625646","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:50.600567","query2","pg8000",2,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:51.279120","query1","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:51.857437","query2","pg8000",5,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:52.365820","query1","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:52.933884","query1","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:53.868115","query1","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:54.638254","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:55.282006","query2","pg8000",1,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:55.820681","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:56.370777","query2","pg8000",4,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:57.104799","query2","pg8000",1,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:58.101094","query1","pg8000",5,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:58.902385","query1","pg8000",4,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:55:59.808581","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:00.487918","query2","pg8000",1,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:01.403224","query1","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:02.197739","query1","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:02.897830","query1","pg8000",4,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:03.543346","query1","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:04.271461","query1","pg8000",1,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:05.274506","query1","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:06.163783","query2","pg8000",5,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:06.915024","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:07.425113","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:08.093544","query2","pg8000",1,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:08.734306","query2","pg8000",0,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:09.389215","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:10.319418","query1","pg8000",4,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:11.133161","query2","pg8000",1,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:11.959946","query2","pg8000",1,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:12.905076","query1","pg8000",2,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:13.413581","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:14.339087","query1","pg8000",1,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:15.026044","query1","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:15.696981","query2","pg8000",5,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:16.464967","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:17.097663","query2","pg8000",6,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:17.970549","query2","pg8000",4,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:18.508218","query2","pg8000",1,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:19.434176","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:20.174969","query2","pg8000",4,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:21.020843","query1","pg8000",0,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:21.556865","query1","pg8000",2,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:22.089688","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:23.090649","query2","pg8000",2,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:23.637997","query1","pg8000",4,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:24.143265","query2","pg8000",1,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:25.080708","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:25.892127","query1","pg8000",1,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:26.612136","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:27.115425","query1","pg8000",1,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:28.016784","query2","pg8000",4,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:28.634903","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:29.281563","query1","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:30.224197","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:30.897054","query2","pg8000",2,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:31.763765","query1","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:32.427519","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:33.319516","query2","pg8000",4,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:33.837798","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:34.418562","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:35.258371","query2","pg8000",4,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:36.090553","query2","pg8000",4,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:36.843692","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:37.795734","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:38.593106","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:39.209103","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:40.064851","query1","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '40', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select count(*) \n        from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:40.786560","query2","pg8000",6,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
"2018-09-08T22:56:41.643390","query2","pg8000",3,"(pg8000.core.ProgrammingError) ('ERROR', '42P01', 'relation ""table1"" does not exist', '24', 'parse_relation.c', '1160', 'parserOpenTable') [SQL: '\n        select * from table1\n        '] (Background on this error at: http://sqlalche.me/e/f405)"
